YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1991,CT,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,7532.00,,,,,,
1991,CT,"Combined Heat and Power, Industrial Power",Natural Gas,10612.00,,,,,,
1991,CT,"Combined Heat and Power, Industrial Power",Other,0.00,,,,,,
1991,CT,"Combined Heat and Power, Industrial Power",Petroleum,73460.00,,,,,,
1991,CT,"Combined Heat and Power, Electric Power",Total,2561652.00,,,,,,
1991,CT,"Combined Heat and Power, Electric Power",Coal,1515646.00,,,,,,
1991,CT,"Combined Heat and Power, Electric Power",Natural Gas,992063.00,,,,,,
1991,CT,"Combined Heat and Power, Electric Power",Other Biomass,37981.00,,,,,,
1991,CT,"Combined Heat and Power, Electric Power",Petroleum,15962.00,,,,,,
1991,CT,"Combined Heat and Power, Commercial Power",Total,112124.00,,,,,,
1991,CT,"Combined Heat and Power, Commercial Power",Natural Gas,100240.00,,,,,,
1991,CT,"Combined Heat and Power, Commercial Power",Petroleum,11884.00,,,,,,
1991,DC,Total Electric Power Industry,Total,179814.00,,,,,,
1991,DC,Total Electric Power Industry,Coal,0.00,,,,,,
1991,DC,Total Electric Power Industry,Petroleum,179814.00,,,,,,
1991,DC,"Electric Generators, Electric Utilities",Total,179814.00,,,,,,
1991,DC,"Electric Generators, Electric Utilities",Petroleum,179814.00,,,,,,
1991,DC,"Combined Heat and Power, Commercial Power",Total,0.00,,,,,,
1991,DC,"Combined Heat and Power, Commercial Power",Coal,0.00,,,,,,
1991,DE,Total Electric Power Industry,Total,7838132.00,,,,,,
1991,DE,Total Electric Power Industry,Coal,4820759.00,,,,,,
1991,DE,Total Electric Power Industry,Natural Gas,1110236.00,,,,,,
1991,DE,Total Electric Power Industry,Other,6315.00,,,,,,
1991,DE,Total Electric Power Industry,Other Gases,0.00,,,,,,
1991,DE,Total Electric Power Industry,Petroleum,1900822.00,,,,,,
1991,DE,"Electric Generators, Electric Utilities",Total,7603723.00,,,,,,
1991,DE,"Electric Generators, Electric Utilities",Coal,4598301.00,,,,,,
1991,DE,"Electric Generators, Electric Utilities",Natural Gas,1106221.00,,,,,,
1991,DE,"Electric Generators, Electric Utilities",Petroleum,1899201.00,,,,,,
1991,DE,"Combined Heat and Power, Industrial Power",Total,234409.00,,,,,,
1991,DE,"Combined Heat and Power, Industrial Power",Coal,222458.00,,,,,,
1991,DE,"Combined Heat and Power, Industrial Power",Natural Gas,4015.00,,,,,,
1991,DE,"Combined Heat and Power, Industrial Power",Other,6315.00,,,,,,
1991,DE,"Combined Heat and Power, Industrial Power",Other Gases,0.00,,,,,,
1991,DE,"Combined Heat and Power, Industrial Power",Petroleum,1621.00,,,,,,
1991,FL,Total Electric Power Industry,Total,139416689.00,,,,,,
1991,FL,Total Electric Power Industry,Coal,62013484.00,,,,,,
1991,FL,Total Electric Power Industry,Hydroelectric Conventional,263066.00,,,,,,
1991,FL,Total Electric Power Industry,Natural Gas,19758810.00,,,,,,
1991,FL,Total Electric Power Industry,Nuclear,20507569.00,,,,,,
1991,FL,Total Electric Power Industry,Other,1917539.00,,,,,,
1991,FL,Total Electric Power Industry,Other Biomass,2259842.00,,,,,,
1991,FL,Total Electric Power Industry,Other Gases,10292.00,,,,,,
1991,FL,Total Electric Power Industry,Petroleum,30599959.00,,,,,,
1991,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,2086128.00,,,,,,
1991,FL,"Electric Generators, Independent Power Producers",Total,2266867.00,,,,,,
1991,FL,"Electric Generators, Independent Power Producers",Natural Gas,876.00,,,,,,
1991,FL,"Electric Generators, Independent Power Producers",Other Biomass,2124837.00,,,,,,
1991,FL,"Electric Generators, Independent Power Producers",Petroleum,37.00,,,,,,
1991,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,141117.00,,,,,,
1991,FL,"Electric Generators, Electric Utilities",Total,130743964.00,,,,,,
1991,FL,"Electric Generators, Electric Utilities",Coal,61122819.00,,,,,,
1991,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,263066.00,,,,,,
1991,FL,"Electric Generators, Electric Utilities",Natural Gas,18734892.00,,,,,,
1991,FL,"Electric Generators, Electric Utilities",Nuclear,20507569.00,,,,,,
1991,FL,"Electric Generators, Electric Utilities",Petroleum,30115618.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Total,5576329.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Coal,343841.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Natural Gas,778533.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Other,1917539.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Other Biomass,112572.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Other Gases,10292.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Petroleum,468541.00,,,,,,
1991,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1945011.00,,,,,,
1991,FL,"Combined Heat and Power, Electric Power",Total,548869.00,,,,,,
1991,FL,"Combined Heat and Power, Electric Power",Coal,546824.00,,,,,,
1991,FL,"Combined Heat and Power, Electric Power",Petroleum,2045.00,,,,,,
1991,FL,"Combined Heat and Power, Commercial Power",Total,280660.00,,,,,,
1991,FL,"Combined Heat and Power, Commercial Power",Natural Gas,244509.00,,,,,,
1991,FL,"Combined Heat and Power, Commercial Power",Other Biomass,22433.00,,,,,,
1991,FL,"Combined Heat and Power, Commercial Power",Petroleum,13718.00,,,,,,
1991,GA,Total Electric Power Industry,Total,96173131.00,,,,,,
1991,GA,Total Electric Power Industry,Coal,61034072.00,,,,,,
1991,GA,Total Electric Power Industry,Hydroelectric Conventional,4232058.00,,,,,,
1991,GA,Total Electric Power Industry,Natural Gas,809826.00,,,,,,
1991,GA,Total Electric Power Industry,Nuclear,26016023.00,,,,,,
1991,GA,Total Electric Power Industry,Other,431.00,,,,,,
1991,GA,Total Electric Power Industry,Other Biomass,65788.00,,,,,,
1991,GA,Total Electric Power Industry,Petroleum,541032.00,,,,,,
1991,GA,Total Electric Power Industry,Pumped Storage,432291.00,,,,,,
1991,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,3041610.00,,,,,,
1991,GA,"Electric Generators, Independent Power Producers",Total,7078.00,,,,,,
1991,GA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,7078.00,,,,,,
1991,GA,"Electric Generators, Electric Utilities",Total,90809416.00,,,,,,
1991,GA,"Electric Generators, Electric Utilities",Coal,59985395.00,,,,,,
1991,GA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,4207061.00,,,,,,
1991,GA,"Electric Generators, Electric Utilities",Natural Gas,60984.00,,,,,,
1991,GA,"Electric Generators, Electric Utilities",Nuclear,26016023.00,,,,,,
1991,GA,"Electric Generators, Electric Utilities",Petroleum,107662.00,,,,,,
1991,GA,"Electric Generators, Electric Utilities",Pumped Storage,432291.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Total,5353185.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Coal,1048677.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,17919.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Natural Gas,748842.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Other,431.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Other Biomass,65788.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Petroleum,429918.00,,,,,,
1991,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3041610.00,,,,,,
1991,GA,"Combined Heat and Power, Commercial Power",Total,3452.00,,,,,,
1991,GA,"Combined Heat and Power, Commercial Power",Petroleum,3452.00,,,,,,
1991,HI,Total Electric Power Industry,Total,8703235.00,,,,,,
1991,HI,Total Electric Power Industry,Coal,7612.00,,,,,,
1991,HI,Total Electric Power Industry,Hydroelectric Conventional,70988.00,,,,,,
1991,HI,Total Electric Power Industry,Other Biomass,823082.00,,,,,,
1991,HI,Total Electric Power Industry,Other Gases,51479.00,,,,,,
1991,HI,Total Electric Power Industry,Petroleum,7714453.00,,,,,,
1991,HI,Total Electric Power Industry,Wind,35621.00,,,,,,
1991,HI,"Electric Generators, Independent Power Producers",Total,376591.00,,,,,,
1991,HI,"Electric Generators, Independent Power Producers",Other Biomass,340970.00,,,,,,
1991,HI,"Electric Generators, Independent Power Producers",Wind,35621.00,,,,,,
1991,HI,"Electric Generators, Electric Utilities",Total,7333192.00,,,,,,
1991,HI,"Electric Generators, Electric Utilities",Hydroelectric Conventional,20401.00,,,,,,
1991,HI,"Electric Generators, Electric Utilities",Other Biomass,0.00,,,,,,
1991,HI,"Electric Generators, Electric Utilities",Petroleum,7312791.00,,,,,,
1991,HI,"Combined Heat and Power, Industrial Power",Total,847735.00,,,,,,
1991,HI,"Combined Heat and Power, Industrial Power",Coal,841.00,,,,,,
1991,HI,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,50587.00,,,,,,
1991,HI,"Combined Heat and Power, Industrial Power",Other Biomass,404143.00,,,,,,
1991,HI,"Combined Heat and Power, Industrial Power",Other Gases,51479.00,,,,,,
1991,HI,"Combined Heat and Power, Industrial Power",Petroleum,340685.00,,,,,,
1991,HI,"Combined Heat and Power, Electric Power",Total,145717.00,,,,,,
1991,HI,"Combined Heat and Power, Electric Power",Coal,6771.00,,,,,,
1991,HI,"Combined Heat and Power, Electric Power",Other Biomass,77969.00,,,,,,
1991,HI,"Combined Heat and Power, Electric Power",Petroleum,60977.00,,,,,,
1991,IA,Total Electric Power Industry,Total,32267856.00,,,,,,
1991,IA,Total Electric Power Industry,Coal,26756771.00,,,,,,
1991,IA,Total Electric Power Industry,Hydroelectric Conventional,901111.00,,,,,,
1991,IA,Total Electric Power Industry,Natural Gas,388004.00,,,,,,
1991,IA,Total Electric Power Industry,Nuclear,4146811.00,,,,,,
1991,IA,Total Electric Power Industry,Other Biomass,25267.00,,,,,,
1991,IA,Total Electric Power Industry,Petroleum,49892.00,,,,,,
1991,IA,"Electric Generators, Independent Power Producers",Total,20801.00,,,,,,
1991,IA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,18266.00,,,,,,
1991,IA,"Electric Generators, Independent Power Producers",Natural Gas,1245.00,,,,,,
1991,IA,"Electric Generators, Independent Power Producers",Petroleum,1290.00,,,,,,
1991,IA,"Electric Generators, Electric Utilities",Total,31228011.00,,,,,,
1991,IA,"Electric Generators, Electric Utilities",Coal,25869811.00,,,,,,
1991,IA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,882845.00,,,,,,
1991,IA,"Electric Generators, Electric Utilities",Natural Gas,262011.00,,,,,,
1991,IA,"Electric Generators, Electric Utilities",Nuclear,4146811.00,,,,,,
1991,IA,"Electric Generators, Electric Utilities",Other Biomass,19702.00,,,,,,
1991,IA,"Electric Generators, Electric Utilities",Petroleum,46831.00,,,,,,
1991,IA,"Combined Heat and Power, Industrial Power",Total,875934.00,,,,,,
1991,IA,"Combined Heat and Power, Industrial Power",Coal,773487.00,,,,,,
1991,IA,"Combined Heat and Power, Industrial Power",Natural Gas,100476.00,,,,,,
1991,IA,"Combined Heat and Power, Industrial Power",Other Biomass,444.00,,,,,,
1991,IA,"Combined Heat and Power, Industrial Power",Petroleum,1527.00,,,,,,
1991,IA,"Combined Heat and Power, Electric Power",Total,116570.00,,,,,,
1991,IA,"Combined Heat and Power, Electric Power",Coal,95098.00,,,,,,
1991,IA,"Combined Heat and Power, Electric Power",Natural Gas,21472.00,,,,,,
1991,IA,"Combined Heat and Power, Commercial Power",Total,26540.00,,,,,,
1991,IA,"Combined Heat and Power, Commercial Power",Coal,18375.00,,,,,,
1991,IA,"Combined Heat and Power, Commercial Power",Natural Gas,2800.00,,,,,,
1991,IA,"Combined Heat and Power, Commercial Power",Other Biomass,5121.00,,,,,,
1991,IA,"Combined Heat and Power, Commercial Power",Petroleum,244.00,,,,,,
1991,ID,Total Electric Power Industry,Total,9428619.00,,,,,,
1991,ID,Total Electric Power Industry,Coal,16359.00,,,,,,
1991,ID,Total Electric Power Industry,Hydroelectric Conventional,8745279.00,,,,,,
1991,ID,Total Electric Power Industry,Natural Gas,107243.00,,,,,,
1991,ID,Total Electric Power Industry,Other,61948.00,,,,,,
1991,ID,Total Electric Power Industry,Other Biomass,9784.00,,,,,,
1991,ID,Total Electric Power Industry,Petroleum,361.00,,,,,,
1991,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,487645.00,,,,,,
1991,ID,"Electric Generators, Independent Power Producers",Total,464088.00,,,,,,
1991,ID,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,464088.00,,,,,,
1991,ID,"Electric Generators, Electric Utilities",Total,8281502.00,,,,,,
1991,ID,"Electric Generators, Electric Utilities",Hydroelectric Conventional,8281191.00,,,,,,
1991,ID,"Electric Generators, Electric Utilities",Petroleum,311.00,,,,,,
1991,ID,"Combined Heat and Power, Industrial Power",Total,601580.00,,,,,,
1991,ID,"Combined Heat and Power, Industrial Power",Coal,16359.00,,,,,,
1991,ID,"Combined Heat and Power, Industrial Power",Natural Gas,107243.00,,,,,,
1991,ID,"Combined Heat and Power, Industrial Power",Other,61948.00,,,,,,
1991,ID,"Combined Heat and Power, Industrial Power",Other Biomass,9784.00,,,,,,
1991,ID,"Combined Heat and Power, Industrial Power",Petroleum,50.00,,,,,,
1991,ID,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,406196.00,,,,,,
1991,ID,"Combined Heat and Power, Electric Power",Total,81449.00,,,,,,
1991,ID,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,81449.00,,,,,,
1991,IL,Total Electric Power Industry,Total,130274345.00,,,,,,
1991,IL,Total Electric Power Industry,Coal,55060170.00,,,,,,
1991,IL,Total Electric Power Industry,Hydroelectric Conventional,134457.00,,,,,,
1991,IL,Total Electric Power Industry,Natural Gas,1735870.00,,,,,,
1991,IL,Total Electric Power Industry,Nuclear,71866091.00,,,,,,
1991,IL,Total Electric Power Industry,Other Biomass,182055.00,,,,,,
1991,IL,Total Electric Power Industry,Other Gases,385381.00,,,,,,
1991,IL,Total Electric Power Industry,Petroleum,910110.00,,,,,,
1991,IL,Total Electric Power Industry,Wood and Wood Derived Fuels,211.00,,,,,,
1991,IL,"Electric Generators, Independent Power Producers",Total,223111.00,,,,,,
1991,IL,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,81753.00,,,,,,
1991,IL,"Electric Generators, Independent Power Producers",Other Biomass,141252.00,,,,,,
1991,IL,"Electric Generators, Independent Power Producers",Petroleum,106.00,,,,,,
1991,IL,"Electric Generators, Electric Utilities",Total,127851375.00,,,,,,
1991,IL,"Electric Generators, Electric Utilities",Coal,53955009.00,,,,,,
1991,IL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,52704.00,,,,,,
1991,IL,"Electric Generators, Electric Utilities",Natural Gas,1072070.00,,,,,,
1991,IL,"Electric Generators, Electric Utilities",Nuclear,71866091.00,,,,,,
1991,IL,"Electric Generators, Electric Utilities",Petroleum,905501.00,,,,,,
1991,IL,"Combined Heat and Power, Industrial Power",Total,2059762.00,,,,,,
1991,IL,"Combined Heat and Power, Industrial Power",Coal,1105161.00,,,,,,
1991,IL,"Combined Heat and Power, Industrial Power",Natural Gas,559386.00,,,,,,
1991,IL,"Combined Heat and Power, Industrial Power",Other Biomass,5120.00,,,,,,
1991,IL,"Combined Heat and Power, Industrial Power",Other Gases,385381.00,,,,,,
1991,IL,"Combined Heat and Power, Industrial Power",Petroleum,4503.00,,,,,,
1991,IL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,211.00,,,,,,
1991,IL,"Combined Heat and Power, Electric Power",Total,37664.00,,,,,,
1991,IL,"Combined Heat and Power, Electric Power",Natural Gas,9334.00,,,,,,
1991,IL,"Combined Heat and Power, Electric Power",Other Biomass,28330.00,,,,,,
1991,IL,"Combined Heat and Power, Commercial Power",Total,102433.00,,,,,,
1991,IL,"Combined Heat and Power, Commercial Power",Natural Gas,95080.00,,,,,,
1991,IL,"Combined Heat and Power, Commercial Power",Other Biomass,7353.00,,,,,,
1991,IL,"Combined Heat and Power, Commercial Power",Petroleum,0.00,,,,,,
1991,IN,Total Electric Power Industry,Total,101981299.00,,,,,,
1991,IN,Total Electric Power Industry,Coal,97457227.00,,,,,,
1991,IN,Total Electric Power Industry,Hydroelectric Conventional,399051.00,,,,,,
1991,IN,Total Electric Power Industry,Natural Gas,1454748.00,,,,,,
1991,IN,Total Electric Power Industry,Other Biomass,33114.00,,,,,,
1991,IN,Total Electric Power Industry,Other Gases,2107806.00,,,,,,
1991,IN,Total Electric Power Industry,Petroleum,529353.00,,,,,,
1991,IN,"Electric Generators, Electric Utilities",Total,98199986.00,,,,,,
1991,IN,"Electric Generators, Electric Utilities",Coal,96526976.00,,,,,,
1991,IN,"Electric Generators, Electric Utilities",Hydroelectric Conventional,399051.00,,,,,,
1991,IN,"Electric Generators, Electric Utilities",Natural Gas,919662.00,,,,,,
1991,IN,"Electric Generators, Electric Utilities",Petroleum,354297.00,,,,,,
1991,IN,"Combined Heat and Power, Industrial Power",Total,3647595.00,,,,,,
1991,IN,"Combined Heat and Power, Industrial Power",Coal,842324.00,,,,,,
1991,IN,"Combined Heat and Power, Industrial Power",Natural Gas,523311.00,,,,,,
1991,IN,"Combined Heat and Power, Industrial Power",Other Gases,2107806.00,,,,,,
1991,IN,"Combined Heat and Power, Industrial Power",Petroleum,174154.00,,,,,,
1991,IN,"Combined Heat and Power, Commercial Power",Total,133718.00,,,,,,
1991,IN,"Combined Heat and Power, Commercial Power",Coal,87927.00,,,,,,
1991,IN,"Combined Heat and Power, Commercial Power",Natural Gas,11775.00,,,,,,
1991,IN,"Combined Heat and Power, Commercial Power",Other Biomass,33114.00,,,,,,
1991,IN,"Combined Heat and Power, Commercial Power",Petroleum,902.00,,,,,,
1991,KS,Total Electric Power Industry,Total,32630743.00,,,,,,
1991,KS,Total Electric Power Industry,Coal,23435008.00,,,,,,
1991,KS,Total Electric Power Industry,Hydroelectric Conventional,10567.00,,,,,,
1991,KS,Total Electric Power Industry,Natural Gas,3265529.00,,,,,,
1991,KS,Total Electric Power Industry,Nuclear,5858613.00,,,,,,
1991,KS,Total Electric Power Industry,Petroleum,60984.00,,,,,,
1991,KS,Total Electric Power Industry,Wind,42.00,,,,,,
1991,KS,"Electric Generators, Independent Power Producers",Total,1465.00,,,,,,
1991,KS,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,1465.00,,,,,,
1991,KS,"Electric Generators, Electric Utilities",Total,32314825.00,,,,,,
1991,KS,"Electric Generators, Electric Utilities",Coal,23435008.00,,,,,,
1991,KS,"Electric Generators, Electric Utilities",Hydroelectric Conventional,9102.00,,,,,,
1991,KS,"Electric Generators, Electric Utilities",Natural Gas,2959358.00,,,,,,
1991,KS,"Electric Generators, Electric Utilities",Nuclear,5858613.00,,,,,,
1991,KS,"Electric Generators, Electric Utilities",Petroleum,52702.00,,,,,,
1991,KS,"Electric Generators, Electric Utilities",Wind,42.00,,,,,,
1991,KS,"Combined Heat and Power, Industrial Power",Total,314453.00,,,,,,
1991,KS,"Combined Heat and Power, Industrial Power",Natural Gas,306171.00,,,,,,
1991,KS,"Combined Heat and Power, Industrial Power",Petroleum,8282.00,,,,,,
1991,KY,Total Electric Power Industry,Total,75505081.00,,,,,,
1991,KY,Total Electric Power Industry,Coal,71713851.00,,,,,,
1991,KY,Total Electric Power Industry,Hydroelectric Conventional,3657801.00,,,,,,
1991,KY,Total Electric Power Industry,Natural Gas,21871.00,,,,,,
1991,KY,Total Electric Power Industry,Petroleum,111558.00,,,,,,
1991,KY,"Electric Generators, Electric Utilities",Total,75505081.00,,,,,,
1991,KY,"Electric Generators, Electric Utilities",Coal,71713851.00,,,,,,
1991,KY,"Electric Generators, Electric Utilities",Hydroelectric Conventional,3657801.00,,,,,,
1991,KY,"Electric Generators, Electric Utilities",Natural Gas,21871.00,,,,,,
1991,KY,"Electric Generators, Electric Utilities",Petroleum,111558.00,,,,,,
1991,LA,Total Electric Power Industry,Total,74972693.00,,,,,,
1991,LA,Total Electric Power Industry,Coal,18968479.00,,,,,,
1991,LA,Total Electric Power Industry,Hydroelectric Conventional,656492.00,,,,,,
1991,LA,Total Electric Power Industry,Natural Gas,36363381.00,,,,,,
1991,LA,Total Electric Power Industry,Nuclear,13956196.00,,,,,,
1991,LA,Total Electric Power Industry,Other,1583053.00,,,,,,
1991,LA,Total Electric Power Industry,Other Biomass,91661.00,,,,,,
1991,LA,Total Electric Power Industry,Other Gases,955600.00,,,,,,
1991,LA,Total Electric Power Industry,Petroleum,55760.00,,,,,,
1991,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,2342071.00,,,,,,
1991,LA,"Electric Generators, Independent Power Producers",Total,748753.00,,,,,,
1991,LA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,656492.00,,,,,,
1991,LA,"Electric Generators, Independent Power Producers",Natural Gas,600.00,,,,,,
1991,LA,"Electric Generators, Independent Power Producers",Other Biomass,91661.00,,,,,,
1991,LA,"Electric Generators, Independent Power Producers",Petroleum,0.00,,,,,,
1991,LA,"Electric Generators, Electric Utilities",Total,57157976.00,,,,,,
1991,LA,"Electric Generators, Electric Utilities",Coal,18911856.00,,,,,,
1991,LA,"Electric Generators, Electric Utilities",Natural Gas,24244619.00,,,,,,
1991,LA,"Electric Generators, Electric Utilities",Nuclear,13956196.00,,,,,,
1991,LA,"Electric Generators, Electric Utilities",Petroleum,45305.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Total,15457489.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Coal,56623.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Natural Gas,10509687.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Other,1583053.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Other Biomass,0.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Other Gases,955600.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Petroleum,10455.00,,,,,,
1991,LA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2342071.00,,,,,,
1991,LA,"Combined Heat and Power, Electric Power",Total,1580946.00,,,,,,
1991,LA,"Combined Heat and Power, Electric Power",Natural Gas,1580946.00,,,,,,
1991,LA,"Combined Heat and Power, Commercial Power",Total,27529.00,,,,,,
1991,LA,"Combined Heat and Power, Commercial Power",Natural Gas,27529.00,,,,,,
1991,MA,Total Electric Power Industry,Total,41019791.00,,,,,,
1991,MA,Total Electric Power Industry,Coal,11985593.00,,,,,,
1991,MA,Total Electric Power Industry,Hydroelectric Conventional,1114929.00,,,,,,
1991,MA,Total Electric Power Industry,Natural Gas,6329862.00,,,,,,
1991,MA,Total Electric Power Industry,Nuclear,4416611.00,,,,,,
1991,MA,Total Electric Power Industry,Other Biomass,1634651.00,,,,,,
1991,MA,Total Electric Power Industry,Other Gases,800.00,,,,,,
1991,MA,Total Electric Power Industry,Petroleum,16159825.00,,,,,,
1991,MA,Total Electric Power Industry,Pumped Storage,-622480.00,,,,,,
1991,MA,"Electric Generators, Independent Power Producers",Total,1772224.00,,,,,,
1991,MA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,248483.00,,,,,,
1991,MA,"Electric Generators, Independent Power Producers",Natural Gas,6901.00,,,,,,
1991,MA,"Electric Generators, Independent Power Producers",Other Biomass,1507484.00,,,,,,
1991,MA,"Electric Generators, Independent Power Producers",Petroleum,9356.00,,,,,,
1991,MA,"Electric Generators, Electric Utilities",Total,35802358.00,,,,,,
1991,MA,"Electric Generators, Electric Utilities",Coal,11861344.00,,,,,,
1991,MA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,855193.00,,,,,,
1991,MA,"Electric Generators, Electric Utilities",Natural Gas,3679433.00,,,,,,
1991,MA,"Electric Generators, Electric Utilities",Nuclear,4416611.00,,,,,,
1991,MA,"Electric Generators, Electric Utilities",Petroleum,15612257.00,,,,,,
1991,MA,"Electric Generators, Electric Utilities",Pumped Storage,-622480.00,,,,,,
1991,MA,"Combined Heat and Power, Industrial Power",Total,546313.00,,,,,,
1991,MA,"Combined Heat and Power, Industrial Power",Coal,50414.00,,,,,,
1991,MA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,11253.00,,,,,,
1991,MA,"Combined Heat and Power, Industrial Power",Natural Gas,166306.00,,,,,,
1991,MA,"Combined Heat and Power, Industrial Power",Other Biomass,64046.00,,,,,,
1991,MA,"Combined Heat and Power, Industrial Power",Petroleum,254294.00,,,,,,
1991,MA,"Combined Heat and Power, Electric Power",Total,2573039.00,,,,,,
1991,MA,"Combined Heat and Power, Electric Power",Coal,73835.00,,,,,,
1991,MA,"Combined Heat and Power, Electric Power",Natural Gas,2440904.00,,,,,,
1991,MA,"Combined Heat and Power, Electric Power",Other Biomass,45541.00,,,,,,
1991,MA,"Combined Heat and Power, Electric Power",Other Gases,800.00,,,,,,
1991,MA,"Combined Heat and Power, Electric Power",Petroleum,11959.00,,,,,,
1991,MA,"Combined Heat and Power, Commercial Power",Total,325857.00,,,,,,
1991,MA,"Combined Heat and Power, Commercial Power",Natural Gas,36318.00,,,,,,
1991,MA,"Combined Heat and Power, Commercial Power",Other Biomass,17580.00,,,,,,
1991,MA,"Combined Heat and Power, Commercial Power",Petroleum,271959.00,,,,,,
1991,MD,Total Electric Power Industry,Total,39850884.00,,,,,,
1991,MD,Total Electric Power Industry,Coal,22835671.00,,,,,,
1991,MD,Total Electric Power Industry,Hydroelectric Conventional,1407287.00,,,,,,
1991,MD,Total Electric Power Industry,Natural Gas,1517463.00,,,,,,
1991,MD,Total Electric Power Industry,Nuclear,9036100.00,,,,,,
1991,MD,Total Electric Power Industry,Other Biomass,336551.00,,,,,,
1991,MD,Total Electric Power Industry,Other Gases,478704.00,,,,,,
1991,MD,Total Electric Power Industry,Petroleum,4078506.00,,,,,,
1991,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,160602.00,,,,,,
1991,MD,"Electric Generators, Independent Power Producers",Total,19857.00,,,,,,
1991,MD,"Electric Generators, Independent Power Producers",Other Biomass,19857.00,,,,,,
1991,MD,"Electric Generators, Electric Utilities",Total,38215120.00,,,,,,
1991,MD,"Electric Generators, Electric Utilities",Coal,22622989.00,,,,,,
1991,MD,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1407287.00,,,,,,
1991,MD,"Electric Generators, Electric Utilities",Natural Gas,1213523.00,,,,,,
1991,MD,"Electric Generators, Electric Utilities",Nuclear,9036100.00,,,,,,
1991,MD,"Electric Generators, Electric Utilities",Other Biomass,0.00,,,,,,
1991,MD,"Electric Generators, Electric Utilities",Petroleum,3935221.00,,,,,,
1991,MD,"Combined Heat and Power, Industrial Power",Total,407744.00,,,,,,
1991,MD,"Combined Heat and Power, Industrial Power",Coal,212682.00,,,,,,
1991,MD,"Combined Heat and Power, Industrial Power",Natural Gas,31170.00,,,,,,
1991,MD,"Combined Heat and Power, Industrial Power",Petroleum,3290.00,,,,,,
1991,MD,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,160602.00,,,,,,
1991,MD,"Combined Heat and Power, Electric Power",Total,1191770.00,,,,,,
1991,MD,"Combined Heat and Power, Electric Power",Natural Gas,272770.00,,,,,,
1991,MD,"Combined Heat and Power, Electric Power",Other Biomass,300301.00,,,,,,
1991,MD,"Combined Heat and Power, Electric Power",Other Gases,478704.00,,,,,,
1991,MD,"Combined Heat and Power, Electric Power",Petroleum,139995.00,,,,,,
1991,MD,"Combined Heat and Power, Commercial Power",Total,16393.00,,,,,,
