Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
3452,Lake Hubbard,TX,ELECTRIC POWER,2,ST,NG,GAS,"172,266,000",0,"2,001,057","2,001,057",0,"1,970,177",Mcf,"117,061","106,197",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3453,Mountain Creek,TX,ELECTRIC POWER,2,ST,NG,GAS,"182,896,000",0,"2,307,976","2,307,976",0,"2,229,929",Mcf,"135,016","122,485",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3456,Newman,TX,ELECTRIC POWER,1,CA,NG,GAS,"348,027,000",0,0,0,0,0,Mcf,0,0,WECC,EPE,El Paso Electric Company,Southwest
3456,Newman,TX,ELECTRIC POWER,1,CT,NG,GAS,"860,005,000",0,"12,254,494","12,254,494",0,"11,610,833",Mcf,"716,883","650,352",WECC,EPE,El Paso Electric Company,Southwest
3456,Newman,TX,ELECTRIC POWER,1,ST,NG,GAS,"735,609,000",0,"8,893,654","8,893,654",0,"8,418,941",Mcf,"520,275","471,990",WECC,EPE,El Paso Electric Company,Southwest
3457,Lewis Creek,TX,ELECTRIC POWER,1,ST,NG,GAS,"1,735,264,000",0,"19,046,281","19,046,281",0,"18,553,425",Mcf,"1,114,200","1,010,795",SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
3459,Sabine,TX,ELECTRIC POWER,1,ST,NG,GAS,"3,497,951,920",0,"45,300,957","45,300,957",0,"43,708,258",Mcf,"2,650,087","2,404,144",SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
3459,Sabine,TX,ELECTRIC POWER,1,ST,DFO,PET,"12,080",0,149,149,0,25,Barrels,12,11,SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
3460,Cedar Bayou,TX,ELECTRIC POWER,2,ST,NG,GAS,"1,692,521,000",0,"19,248,689","19,248,689",0,"18,757,883",Mcf,"1,126,040","1,021,537",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3464,Greens Bayou,TX,ELECTRIC POWER,2,GT,NG,GAS,"11,481,000",0,"196,266","196,266",0,"193,556",Mcf,"11,481","10,416",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3464,Greens Bayou,TX,ELECTRIC POWER,2,ST,NG,GAS,"-5,474,000",0,0,0,0,0,Mcf,0,0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3469,T H Wharton,TX,ELECTRIC POWER,2,CA,NG,GAS,"119,751,000",0,0,0,0,0,Mcf,0,0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3469,T H Wharton,TX,ELECTRIC POWER,2,CT,NG,GAS,"299,920,000",0,"4,060,584","4,060,584",0,"3,969,731",Mcf,"237,543","215,497",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3469,T H Wharton,TX,ELECTRIC POWER,2,GT,NG,GAS,"17,361,000",0,"289,813","289,813",0,"288,076",Mcf,"16,954","15,381",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3470,W A Parish,TX,ELECTRIC POWER,2,GT,NG,GAS,"81,000",0,"3,481","3,481",0,"3,335",Mcf,204,185,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3470,W A Parish,TX,ELECTRIC POWER,2,ST,SUB,COAL,"15,177,465,420",0,"157,492,517","157,492,517",0,"9,821,743",Tons,"16,874,462","15,308,412",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3470,W A Parish,TX,ELECTRIC POWER,2,ST,NG,GAS,"1,029,058,580",0,"10,716,685","10,716,685",0,"10,349,686",Mcf,"626,922","568,740",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3476,Knox Lee,TX,ELECTRIC POWER,1,ST,NG,GAS,"51,891,000",0,"637,373","637,373",0,"625,407",Mcf,"37,286","33,826",SPP,SWPP,Southwest Power Pool,Central
3477,Lone Star,TX,ELECTRIC POWER,1,ST,NG,GAS,"1,131,000",0,"16,401","16,401",0,"15,923",Mcf,959,870,SPP,SWPP,Southwest Power Pool,Central
3478,Wilkes,TX,ELECTRIC POWER,1,ST,NG,GAS,"408,356,000",0,"5,232,729","5,232,729",0,"5,055,341",Mcf,"306,113","277,703",SPP,SWPP,Southwest Power Pool,Central
3482,Jones,TX,ELECTRIC POWER,1,GT,NG,GAS,"211,409,000",0,"2,112,841","2,112,841",0,"2,033,534",Mcf,"123,600","112,129",SPP,SWPP,Southwest Power Pool,Central
3482,Jones,TX,ELECTRIC POWER,1,ST,NG,GAS,"751,618,984",0,"8,778,374","8,778,374",0,"8,466,061",Mcf,"513,531","465,873",SPP,SWPP,Southwest Power Pool,Central
3482,Jones,TX,ELECTRIC POWER,1,ST,DFO,PET,"320,016",0,"4,009","4,009",0,703,Barrels,323,293,SPP,SWPP,Southwest Power Pool,Central
3484,Nichols,TX,ELECTRIC POWER,1,ST,NG,GAS,"396,830,000",0,"4,995,492","4,995,492",0,"4,836,643",Mcf,"292,234","265,113",SPP,SWPP,Southwest Power Pool,Central
3485,Plant X,TX,ELECTRIC POWER,1,ST,NG,GAS,"452,786,125",0,"5,343,565","5,343,565",0,"5,142,423",Mcf,"312,596","283,586",SPP,SWPP,Southwest Power Pool,Central
3485,Plant X,TX,ELECTRIC POWER,1,ST,DFO,PET,"111,875",0,"1,386","1,386",0,242,Barrels,112,101,SPP,SWPP,Southwest Power Pool,Central
3490,Graham,TX,ELECTRIC POWER,2,ST,NG,GAS,"70,708,000",0,"859,919","859,919",0,"846,081",Mcf,"50,305","45,636",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3491,Handley,TX,ELECTRIC POWER,2,ST,NG,GAS,"354,861,000",0,"4,875,791","4,875,791",0,"4,734,064",Mcf,"285,232","258,761",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3492,Morgan Creek,TX,ELECTRIC POWER,2,GT,NG,GAS,"4,468,295",0,"72,449","72,449",0,"72,449",Mcf,"4,238","3,845",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3492,Morgan Creek,TX,ELECTRIC POWER,2,GT,DFO,PET,"83,705",0,"1,358","1,358",0,234,Barrels,110,99,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3494,Permian Basin,TX,ELECTRIC POWER,2,GT,NG,GAS,"31,795,020",0,"469,197","469,197",0,"468,728",Mcf,"27,448","24,901",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3494,Permian Basin,TX,ELECTRIC POWER,2,GT,DFO,PET,"113,980",0,"1,680","1,680",0,290,Barrels,135,123,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3497,Big Brown,TX,ELECTRIC POWER,2,ST,LIG,COAL,"1,537,427,029",0,"17,320,582","17,320,582",0,"1,267,255",Tons,"1,865,352","1,692,236",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3497,Big Brown,TX,ELECTRIC POWER,2,ST,SUB,COAL,"6,286,447,860",0,"71,098,794","71,098,794",0,"4,284,127",Tons,"7,617,847","6,910,865",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3497,Big Brown,TX,ELECTRIC POWER,2,ST,NG,GAS,"13,114,111",0,"147,354","147,354",0,"144,639",Mcf,"8,620","7,820",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3504,Stryker Creek,TX,ELECTRIC POWER,2,ST,NG,GAS,"76,190,000",0,"943,400","943,400",0,"903,169",Mcf,"55,189","50,067",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3507,Trinidad (TX),TX,ELECTRIC POWER,2,ST,NG,GAS,"7,974,000",0,"112,991","112,991",0,"108,957",Mcf,"6,610","5,996",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3548,Decker Creek,TX,ELECTRIC POWER,1,GT,NG,GAS,"25,320,000",0,"326,005","326,005",0,"316,201",Mcf,"19,071","17,301",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3548,Decker Creek,TX,ELECTRIC POWER,1,ST,NG,GAS,"377,101,000",0,"4,281,698","4,281,698",0,"4,153,695",Mcf,"250,478","227,232",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3559,Silas Ray,TX,ELECTRIC POWER,1,CA,NG,GAS,"9,590,000",0,0,0,0,0,Mcf,0,0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3559,Silas Ray,TX,ELECTRIC POWER,1,CT,NG,GAS,"30,622,000",0,"376,038","376,038",0,"363,044",Mcf,"21,998","19,957",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3559,Silas Ray,TX,ELECTRIC POWER,1,GT,NG,GAS,"18,980,000",0,"258,312","258,312",0,"228,797",Mcf,"15,111","13,709",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3559,Silas Ray,TX,ELECTRIC POWER,1,IC,DFO,PET,"9,000",0,262,262,0,47,Barrels,21,19,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3561,Bryan (TX),TX,ELECTRIC POWER,1,GT,NG,GAS,"311,000",0,"6,453","6,453",0,"6,453",Mcf,377,342,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3576,Ray Olinger,TX,ELECTRIC POWER,1,GT,NG,GAS,"1,573,000",0,22,22,0,22,Mcf,1,1,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3576,Ray Olinger,TX,ELECTRIC POWER,1,ST,NG,GAS,"10,247,000",0,"138,982","138,982",0,"137,538",Mcf,"8,130","7,376",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3601,Sim Gideon,TX,ELECTRIC POWER,1,ST,NG,GAS,"326,136,000",0,"3,702,857","3,702,857",0,"3,595,007",Mcf,"216,616","196,512",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3602,Ty Cooke,TX,ELECTRIC POWER,1,GT,NG,GAS,"2,402,000",0,"48,200","48,200",0,"46,259",Mcf,"2,820","2,558",SPP,SWPP,Southwest Power Pool,Central
3604,J Robert Massengale,TX,ELECTRIC POWER,1,CA,NG,GAS,"14,738,000",0,0,0,0,0,Mcf,0,0,SPP,SWPP,Southwest Power Pool,Central
3604,J Robert Massengale,TX,ELECTRIC POWER,1,CT,NG,GAS,"74,745,000",0,"858,279","858,279",0,"825,090",Mcf,"50,209","45,549",SPP,SWPP,Southwest Power Pool,Central
3609,Leon Creek,TX,ELECTRIC POWER,1,GT,NG,GAS,"97,525,000",0,"1,063,528","1,063,528",0,"1,032,552",Mcf,"62,216","56,442",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3611,O W Sommers,TX,ELECTRIC POWER,1,ST,NG,GAS,"421,668,021",0,"5,296,398","5,296,398",0,"5,125,131",Mcf,"309,837","281,082",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3611,O W Sommers,TX,ELECTRIC POWER,1,ST,DFO,PET,"109,979",0,"1,593","1,593",0,270,Barrels,128,117,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3612,V H Braunig,TX,ELECTRIC POWER,1,GT,NG,GAS,"91,869,141",0,"1,039,780","1,039,780",0,"1,005,505",Mcf,"60,827","55,182",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3612,V H Braunig,TX,ELECTRIC POWER,1,GT,DFO,PET,"244,859",0,"3,264","3,264",0,544,Barrels,263,239,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3612,V H Braunig,TX,ELECTRIC POWER,1,ST,NG,GAS,"363,303,050",0,"4,282,245","4,282,245",0,"4,146,189",Mcf,"250,510","227,261",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3612,V H Braunig,TX,ELECTRIC POWER,1,ST,DFO,PET,"17,950",0,207,207,0,35,Barrels,17,15,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1,GT,NG,GAS,"28,738,932",0,"463,293","463,293",0,"447,442",Mcf,"27,102","24,587",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1,GT,DFO,PET,"81,068",0,"1,319","1,319",0,227,Barrels,106,96,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1,ST,NG,GAS,"112,599,997",0,"1,417,292","1,417,292",0,"1,367,767",Mcf,"82,911","75,216",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1,ST,DFO,PET,"481,003",0,"6,181","6,181",0,"1,064",Barrels,498,452,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3630,Pearsall,TX,ELECTRIC POWER,1,IC,NG,GAS,"174,931,000",0,"1,673,132","1,673,132",0,"1,584,406",Mcf,"97,878","88,794",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3630,Pearsall,TX,ELECTRIC POWER,1,ST,NG,GAS,"144,000",0,"4,016","4,016",0,"3,803",Mcf,235,213,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1,CA,NG,GAS,"29,916,000",0,0,0,0,0,Mcf,0,0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1,CT,NG,GAS,"107,001,000",0,"1,440,471","1,440,471",0,"1,382,839",Mcf,"84,267","76,446",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1,GT,NG,GAS,"635,000",0,"40,107","40,107",0,"38,491",Mcf,"2,346","2,128",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1,IC,DFO,PET,"219,000",0,"2,336","2,336",0,400,Barrels,188,171,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4195,Powerlane Plant,TX,ELECTRIC POWER,1,IC,NG,GAS,"7,277,000",0,"84,661","84,661",0,"83,658",Mcf,"4,953","4,493",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4195,Powerlane Plant,TX,ELECTRIC POWER,1,ST,NG,GAS,"3,038,000",0,"90,408","90,408",0,"89,313",Mcf,"5,289","4,798",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4266,Spencer,TX,ELECTRIC POWER,1,ST,NG,GAS,"4,546,000",0,"59,558","59,558",0,"73,527",Mcf,"3,484","3,161",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4937,Thomas C Ferguson,TX,ELECTRIC POWER,1,CA,NG,GAS,"1,339,846,000",0,0,0,0,0,Mcf,0,0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4937,Thomas C Ferguson,TX,ELECTRIC POWER,1,CT,NG,GAS,"2,265,077,000",0,"25,021,861","25,021,861",0,"24,293,070",Mcf,"1,463,769","1,327,922",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4939,Barney M Davis,TX,ELECTRIC POWER,2,CA,NG,GAS,"176,683,000",0,"883,567","883,567",0,"856,623",Mcf,"51,688","46,891",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4939,Barney M Davis,TX,ELECTRIC POWER,2,CT,NG,GAS,"1,007,002,000",0,"8,169,159","8,169,159",0,"7,913,564",Mcf,"477,892","433,541",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4939,Barney M Davis,TX,ELECTRIC POWER,2,ST,NG,GAS,"14,038,000",0,"180,451","180,451",0,"174,813",Mcf,"10,556","9,577",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6136,Gibbons Creek,TX,ELECTRIC POWER,1,ST,SUB,COAL,"1,588,735,562",0,"16,762,023","16,762,023",0,"1,029,628",Tons,"1,795,959","1,629,283",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6136,Gibbons Creek,TX,ELECTRIC POWER,1,ST,NG,GAS,"4,946,438",0,"52,437","52,437",0,"51,457",Mcf,"3,068","2,783",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6139,Welsh,TX,ELECTRIC POWER,1,ST,SUB,COAL,"5,571,595,114",0,"60,319,976","60,319,976",0,"3,508,248",Tons,"6,462,956","5,863,155",SPP,SWPP,Southwest Power Pool,Central
6139,Welsh,TX,ELECTRIC POWER,1,ST,DFO,PET,"10,934,886",0,"117,883","117,883",0,"20,048",Barrels,"9,507","8,624",SPP,SWPP,Southwest Power Pool,Central
6146,Martin Lake,TX,ELECTRIC POWER,2,ST,LIG,COAL,"6,739,293,724",0,"76,778,578","76,778,578",0,"5,672,088",Tons,"8,268,722","7,501,335",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6146,Martin Lake,TX,ELECTRIC POWER,2,ST,SUB,COAL,"5,848,788,538",0,"66,516,402","66,516,402",0,"3,996,045",Tons,"7,126,869","6,465,453",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6146,Martin Lake,TX,ELECTRIC POWER,2,ST,DFO,PET,"6,581,738",0,"76,573","76,573",0,"13,202",Barrels,"6,175","5,602",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6147,Monticello,TX,ELECTRIC POWER,2,ST,SUB,COAL,"9,021,823,821",0,"102,939,346","102,939,346",0,"6,248,302",Tons,"11,029,388","10,005,795",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6147,Monticello,TX,ELECTRIC POWER,2,ST,DFO,PET,"15,997,179",0,"184,753","184,753",0,"31,854",Barrels,"14,899","13,517",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6178,Coleto Creek,TX,ELECTRIC POWER,2,ST,SUB,COAL,"3,898,987,467",0,"39,376,476","39,376,476",0,"2,204,164",Tons,"4,218,974","3,827,428",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6178,Coleto Creek,TX,ELECTRIC POWER,2,ST,DFO,PET,"1,575,533",0,"16,892","16,892",0,"3,067",Barrels,"1,362","1,236",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6179,Fayette Power Project,TX,ELECTRIC POWER,1,ST,SUB,COAL,"11,407,808,719",0,"120,214,833","120,214,833",0,"7,188,478",Tons,"12,880,362","11,684,988",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6179,Fayette Power Project,TX,ELECTRIC POWER,1,ST,DFO,PET,"16,827,281",0,"177,844","177,844",0,"30,041",Barrels,"14,342","13,011",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6180,Oak Grove (TX),TX,ELECTRIC POWER,2,ST,LIG,COAL,"13,430,768,306",0,"138,902,063","138,902,063",0,"10,210,658",Tons,"14,959,153","13,570,855",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6180,Oak Grove (TX),TX,ELECTRIC POWER,2,ST,RC,COAL,"30,369,619",0,"305,170","305,170",0,"22,439",Tons,"31,385","28,473",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6180,Oak Grove (TX),TX,ELECTRIC POWER,2,ST,NG,GAS,"2,319,075",0,"23,303","23,303",0,"23,027",Mcf,"1,363","1,237",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6181,J T Deely,TX,ELECTRIC POWER,1,ST,SUB,COAL,"3,564,390,625",0,"38,981,687","38,981,687",0,"2,232,893",Tons,"4,176,675","3,789,054",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6181,J T Deely,TX,ELECTRIC POWER,1,ST,NG,GAS,"5,142,375",0,"55,864","55,864",0,"54,389",Mcf,"3,268","2,965",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6183,San Miguel,TX,ELECTRIC POWER,1,ST,LIG,COAL,"2,553,779,609",0,"31,621,700","31,621,700",0,"3,021,975",Tons,"3,405,521","3,089,468",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6183,San Miguel,TX,ELECTRIC POWER,1,ST,DFO,PET,"3,197,391",0,"40,182","40,182",0,"6,895",Barrels,"3,240","2,940",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6193,Harrington,TX,ELECTRIC POWER,1,ST,SUB,COAL,"4,594,569,705",0,"48,944,694","48,944,694",0,"2,756,527",Tons,"5,244,156","4,757,467",SPP,SWPP,Southwest Power Pool,Central
6193,Harrington,TX,ELECTRIC POWER,1,ST,NG,GAS,"31,822,295",0,"341,327","341,327",0,"331,184",Mcf,"19,967","18,114",SPP,SWPP,Southwest Power Pool,Central
6194,Tolk,TX,ELECTRIC POWER,1,ST,SUB,COAL,"5,154,916,299",0,"52,941,786","52,941,786",0,"2,974,439",Tons,"5,672,423","5,145,988",SPP,SWPP,Southwest Power Pool,Central
6194,Tolk,TX,ELECTRIC POWER,1,ST,NG,GAS,"16,568,701",0,"171,196","171,196",0,"165,368",Mcf,"10,015","9,085",SPP,SWPP,Southwest Power Pool,Central
6243,Dansby,TX,ELECTRIC POWER,1,GT,NG,GAS,"27,049,000",0,"290,472","290,472",0,"290,472",Mcf,"16,992","15,415",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6243,Dansby,TX,ELECTRIC POWER,1,ST,NG,GAS,"73,514,000",0,"1,161,854","1,161,854",0,"1,161,854",Mcf,"67,968","61,660",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6648,Sandow No 4,TX,ELECTRIC POWER,2,ST,LIG,COAL,"4,035,557,661",0,"45,263,964","45,263,964",0,"3,712,158",Tons,"4,874,734","4,422,329",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6648,Sandow No 4,TX,ELECTRIC POWER,2,ST,DFO,PET,"2,570,339",0,"28,298","28,298",0,"4,879",Barrels,"2,282","2,070",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
